SRL,Course,Section,Faculty,Time,Room,Seats Available
1119.,CSE331/EEE332/EEE453/ETE332,6,SKH1,RA 11:20 AM - 12:50 PM,SAC307,0
1120.,CSE331L/EEE332L/EEE453L/ETE332L,1,MAQm,S 02:40 PM - 05:50 PM,LIB609,0
1121.,CSE331L/EEE332L/EEE453L/ETE332L,2,MUA3,R 11:20 AM - 02:30 PM,LIB609,0
1122.,CSE331L/EEE332L/EEE453L/ETE332L,3,SMH2,R 08:00 AM - 11:10 AM,LIB609,0
1123.,CSE331L/EEE332L/EEE453L/ETE332L,4,SMH2,A 08:00 AM - 11:10 AM,LIB609,1
1124.,CSE331L/EEE332L/EEE453L/ETE332L,5,SkH1,R 02:40 PM - 05:50 PM,LIB609,0
1125.,CSE331L/EEE332L/EEE453L/ETE332L,6,SkH1,A 02:40 PM - 05:50 PM,LIB609,0
1126.,CSE332/EEE336,1,TnF,RA 08:00 AM - 09:30 AM,SAC311,0
1127.,CSE332/EEE336,2,TnF,RA 09:40 AM - 11:10 AM,SAC311,0
1128.,CSE332/EEE336,3,NLH,RA 01:00 PM - 02:30 PM,SAC307,0
1129.,CSE332/EEE336,4,NLH,RA 02:40 PM - 04:10 PM,SAC307,0
1130.,CSE332/EEE336,5,MAQM,ST 09:40 AM - 11:10 AM,NAC990,0
1131.,CSE332/EEE336,6,MAQM,ST 01:00 PM - 02:30 PM,SAC306,0
1132.,CSE332/EEE336,7,Sfm,RA 08:00 AM - 09:30 AM,SAC204,0
1133.,CSE332/EEE336,8,Sfm,RA 09:40 AM - 11:10 AM,SAC204,0
1134.,CSE332/EEE336,9,MUU,RA 08:00 AM - 09:30 AM,SAC313,0
1135.,CSE332/EEE336,10,TBA,RA 08:00 AM - 09:30 AM,SAC503,0
1136.,CSE332/EEE336,11,TBA,RA 09:40 AM - 11:10 AM,SAC503,0
1137.,CSE332/EEE336,12,ALHQ,MW 08:00 AM - 09:30 AM,SAC308,0
1138.,CSE332/EEE336,13,ALHQ,MW 11:20 AM - 12:50 PM,SAC308,0
1139.,CSE332L/EEE336L,1,TnF,A 02:40 PM - 05:50 PM,SAC507,0
1140.,CSE332L/EEE336L,2,TnF,R 02:40 PM - 05:50 PM,SAC801,0
1141.,CSE332L/EEE336L,3,NLH,S 08:00 AM - 11:10 AM,SAC507,0
1142.,CSE332L/EEE336L,4,NLH,T 08:00 AM - 11:10 AM,SAC507,0
1143.,CSE332L/EEE336L,5,MAQm,M 02:40 PM - 05:50 PM,SAC801,0
1144.,CSE332L/EEE336L,6,MAQm,W 02:40 PM - 05:50 PM,SAC801,0
1145.,CSE332L/EEE336L,7,Sfm,R 11:20 AM - 02:30 PM,SAC507,0
1146.,CSE332L/EEE336L,8,Sfm,A 11:20 AM - 02:30 PM,SAC507,0
1147.,CSE332L/EEE336L,9,MUU,S 11:20 AM - 02:30 PM,SAC507,0
1148.,CSE332L/EEE336L,10,TBA,S 11:20 AM - 02:30 PM,LAB2,0
1149.,CSE332L/EEE336L,11,TBA,T 11:20 AM - 02:30 PM,SAC507,1
1150.,CSE332L/EEE336L,12,ALHQ,R 08:00 AM - 11:10 AM,SAC507,0
1151.,CSE332L/EEE336L,13,ALHQ,R 02:40 PM - 05:50 PM,SAC507,0
1152.,CSE338/CSE438/EEE331/ETE331,1,hzr,MW 02:40 PM - 04:10 PM,SAC311,13
1153.,CSE338/CSE438,2,RjP,MW 11:20 AM - 12:50 PM,SAC310,0
1154.,CSE338L/CSE438L/EEE331L/ETE331L,1,hzr,R 11:20 AM - 02:30 PM,LIB610,5
1155.,CSE338L/CSE438L,2,RjP,M 02:40 PM - 05:50 PM,LIB610,0
1156.,CSE373,1,ARa2,ST 09:40 AM - 11:10 AM,SAC308,0
1157.,CSE373,2,ARa2,ST 11:20 AM - 12:50 PM,SAC306,0
1158.,CSE373,3,IQN,MW 01:00 PM - 02:30 PM,NAC311,0
1159.,CSE373,4,IQN,MW 02:40 PM - 04:10 PM,NAC311,0
1160.,CSE373,5,OISD,MW 01:00 PM - 02:30 PM,SAC204,0
1161.,CSE373,6,SMAH,RA 08:00 AM - 09:30 AM,SAC310,0
1162.,CSE373,7,SMAH,RA 09:40 AM - 11:10 AM,LIB607,0
1163.,CSE373,9,EKD,ST 08:00 AM - 09:30 AM,SAC304,0
1164.,CSE373,10,EKD,ST 09:40 AM - 11:10 AM,LIB603,0
1165.,CSE373,11,TBA,MW 08:00 AM - 09:30 AM,SAC205,0
1166.,CSE373,12,TBA,MW 09:40 AM - 11:10 AM,LIB610,0
1167.,CSE373,13,SfM1,MW 09:40 AM - 11:10 AM,SAC206,0
1168.,CSE373,14,NdA,RA 09:40 AM - 11:10 AM,LIB610,0
1169.,CSE411,1,SLf,MW 08:00 AM - 09:30 AM,SAC309,0
1170.,CSE411,2,SLf,MW 09:40 AM - 11:10 AM,SAC309,0
1171.,CSE413/EEE413/ETE419,1,IqR,MW 11:20 AM - 12:50 PM,SAC401,8
1172.,CSE413/EEE413/ETE419,2,IqR,MW 02:40 PM - 04:10 PM,SAC801A,3
1173.,CSE413L/EEE413L/ETE419L,1,IqR,R 11:20 AM - 02:30 PM,LIB611,8
1174.,CSE413L/EEE413L/ETE419L,2,IqR,R 02:40 PM - 05:50 PM,LIB611,3
1175.,CSE435/EEE411/ETE412,1,IqR,ST 11:20 AM - 12:50 PM,SAC401,0
1176.,CSE435/EEE411/ETE412,2,IqR,ST 02:40 PM - 04:10 PM,SAC801A,0
1177.,CSE435L/EEE411L/ETE412L,1,IqR,A 08:00 AM - 11:10 AM,LIB611,0
1178.,CSE435L/EEE411L/ETE412L,2,IqR,A 11:20 AM - 02:30 PM,LIB611,0
1179.,CSE440/EEE333/ETE333,1,MSRb,ST 01:00 PM - 02:30 PM,SAC311,0
1180.,CSE440/EEE333/ETE333,2,FSI,RA 02:40 PM - 04:10 PM,SAC309,0
1181.,CSE440/EEE333/ETE333,3,ALK1,ST 02:40 PM - 04:10 PM,NAC311,0
1182.,CSE440/EEE333/ETE333,4,ALK1,ST 04:20 PM - 05:50 PM,SAC511,0
1183.,CSE440/EEE333/ETE333,5,MLD,RA 02:40 PM - 04:10 PM,SAC502,0
1184.,CSE445,1,SfM1,ST 09:40 AM - 11:10 AM,SAC206,0
1185.,CSE445,2,Rtk,ST 11:20 AM - 12:50 PM,SAC205,0
1186.,CSE445,3,MSRb,MW 02:40 PM - 04:10 PM,SAC511,0
1187.,CSE445,4,SvA,ST 01:00 PM - 02:30 PM,SAC511,0
1188.,CSE445,5,MLE,ST 02:40 PM - 04:10 PM,SAC311,0
1189.,CSE445,6,MLE,MW 09:40 AM - 11:10 AM,SAC801A,0
1190.,CSE445,7,ITN,RA 11:20 AM - 12:50 PM,SAC306,0
1191.,CSE445,8,MAQM,MW 01:00 PM - 02:30 PM,SAC206,0
1192.,CSE445,10,MLD,RA 04:20 PM - 05:50 PM,NAC511,0
1193.,CSE465,1,NbM,ST 04:20 PM - 05:50 PM,SAC308,0
1194.,CSE465,2,AzK,MW 09:40 AM - 11:10 AM,NAC990,0
1195.,CSE465,3,SvA,ST 02:40 PM - 04:10 PM,SAC511,0
1196.,CSE465,4,HSM,RA 02:40 PM - 04:10 PM,SAC311,14
1197.,CSE465,5,OISD,MW 02:40 PM - 04:10 PM,SAC204,0
1198.,CSE465,6,SfM1,ST 11:20 AM - 12:50 PM,SAC206,0
1199.,CSE482/ETE334,1,NqH,MW 08:00 AM - 09:30 AM,SAC311,19
1200.,CSE482/ETE334,2,NqH,MW 11:20 AM - 12:50 PM,SAC204,3
1201.,CSE482L/ETE334L,1,NqH,M 02:40 PM - 05:50 PM,LIB604,19
1202.,CSE482L/ETE334L,2,NqH,W 02:40 PM - 05:50 PM,LIB604,3
1203.,CSE495A,1,SnS1,ST 11:20 AM - 12:50 PM,SAC309,3
1204.,CSE495B,1,AzK,MW 02:40 PM - 04:10 PM,SAC310,1
1205.,CSE498R,1,TBA,TBA,TBA,0
1206.,CSE498R,2,TBA,TBA,TBA,0
1207.,CSE498R,3,TBA,TBA,TBA,0
1208.,CSE498R,4,TBA,TBA,TBA,0
1209.,CSE498R,5,TBA,TBA,TBA,0
1210.,CSE498R,6,TBA,TBA,TBA,0
1211.,CSE498R,7,TBA,TBA,TBA,0
1212.,CSE498R,8,TBA,TBA,TBA,0
1213.,CSE498R,9,TBA,TBA,TBA,1
1214.,CSE498R,10,TBA,TBA,TBA,0
1215.,CSE498R,11,TBA,TBA,TBA,7
1216.,CSE498R,12,TBA,TBA,TBA,10
1217.,CSE498R,13,TBA,TBA,TBA,15
1218.,CSE498R,14,TBA,TBA,TBA,1
1219.,CSE498R,15,TBA,TBA,TBA,9
1220.,CSE498R,16,TBA,TBA,TBA,0
1221.,CSE498R,17,TBA,TBA,TBA,15
1222.,CSE498R,18,TBA,TBA,TBA,14
1223.,CSE498R,19,TBA,TBA,TBA,0
1224.,CSE498R,20,TBA,TBA,TBA,5
1225.,CSE498R,21,TBA,TBA,TBA,0
1226.,CSE498R,22,TBA,TBA,TBA,0
1227.,CSE498R,23,TBA,TBA,TBA,0
1228.,CSE498R,24,TBA,TBA,TBA,0
1229.,CSE498R,25,TBA,TBA,TBA,21
1230.,CSE498R,26,TBA,TBA,TBA,21
1231.,CSE498R,27,TBA,TBA,TBA,20
1232.,CSE498R,28,TBA,TBA,TBA,18
1233.,CSE498R,29,TBA,TBA,TBA,17
1234.,CSE498R,30,TBA,TBA,TBA,21
1235.,CSE499A/EEE499A/ETE499A,2,RRn,T 01:00 PM - 02:30 PM,SAC503,0
1236.,CSE499A/EEE499A/ETE499A,4,Mdy,M 01:00 PM - 02:30 PM,LIB608,0
1237.,CSE499A/EEE499A/ETE499A,5,KMM,T 09:40 AM - 11:10 AM,LIB608,0
1238.,CSE499A/EEE499A/ETE499A,6,FMA,T 01:00 PM - 02:30 PM,LIB608,0
1239.,CSE499A/EEE499A/ETE499A,7,SfM1,M 11:20 AM - 12:50 PM,LIB604,0
1240.,CSE499A/EEE499A/ETE499A,9,NbM,M 11:20 AM - 12:50 PM,SAC503,4
1241.,CSE499A/EEE499A/ETE499A,10,ITN,W 09:40 AM - 11:10 AM,LIB605,2
1242.,CSE499A/EEE499A/ETE499A,12,SfR1,T 09:40 AM - 11:10 AM,SAC503,0
1243.,CSE499A/EEE499A/ETE499A,13,SnS1,W 11:20 AM - 12:50 PM,SAC503,0
1244.,CSE499A/EEE499A/ETE499A,14,HSM,W 09:40 AM - 11:10 AM,LIB609,0
1245.,CSE499A/EEE499A/ETE499A,15,AzK,R 01:00 PM - 02:30 PM,LIB606,0
1246.,CSE499A/EEE499A/ETE499A,17,Rtk,M 11:20 AM - 12:50 PM,LIB608,0
1247.,CSE499A/EEE499A/ETE499A,18,AJH,M 09:40 AM - 11:10 AM,SAC503,0
1248.,CSE499B/EEE499B/ETE499B,1,KAS,S 11:20 AM - 12:50 PM,SAC503,21
1249.,CSE499B/EEE499B/ETE499B,3,Szz,S 11:20 AM - 12:50 PM,LIB609,0
1250.,CSE499B/EEE499B/ETE499B,4,Szz,T 09:40 AM - 11:10 AM,SAC502,3
1251.,CSE499B/EEE499B/ETE499B,5,Aqu,T 02:40 PM - 04:10 PM,SAC502,15
1252.,CSE499B/EEE499B/ETE499B,6,KMM,S 09:40 AM - 11:10 AM,SAC502,4
1253.,CSE499B/EEE499B/ETE499B,7,KMM,M 09:40 AM - 11:10 AM,SAC502,10
1254.,CSE499B/EEE499B/ETE499B,8,MAQm,T 11:20 AM - 12:50 PM,LIB609,1
1255.,CSE499B/EEE499B/ETE499B,9,FMA,S 02:40 PM - 04:10 PM,LIB607,0
1256.,CSE499B/EEE499B/ETE499B,10,SfM1,M 01:00 PM - 02:30 PM,SAC502,1
1257.,CSE499B/EEE499B/ETE499B,11,SfM1,W 11:20 AM - 12:50 PM,LIB604,2
1258.,CSE499B/EEE499B/ETE499B,12,NbM,A 01:00 PM - 02:30 PM,LIB610,8
1259.,CSE499B/EEE499B/ETE499B,13,Mdy,M 02:40 PM - 04:10 PM,SAC502,1
1260.,CSE499B/EEE499B/ETE499B,14,Mdy,M 04:20 PM - 05:50 PM,SAC502,0
1261.,CSE499B/EEE499B/ETE499B,15,SnS1,W 09:40 AM - 11:10 AM,SAC503,0
1262.,CSE499B/EEE499B/ETE499B,16,SnS1,W 02:40 PM - 04:10 PM,SAC503,0
1263.,CSE499B/EEE499B/ETE499B,17,AzK,A 01:00 PM - 02:30 PM,LIB609,0
1264.,CSE499B/EEE499B/ETE499B,18,AzK,A 02:40 PM - 04:10 PM,LIB606,1
1265.,CSE499B/EEE499B/ETE499B,20,MSRb,S 02:40 PM - 04:10 PM,LIB604,3
1266.,CSE499B/EEE499B/ETE499B,21,HSM,M 09:40 AM - 11:10 AM,LIB609,5
1267.,CSE499B/EEE499B/ETE499B,22,Rtk,W 11:20 AM - 12:50 PM,LIB608,0
1268.,CSE532/EEE560,1,MAQm,F 07:00 PM - 10:10 PM,SAC308,3
1269.,CSE533,1,AzK,A 07:00 PM - 10:10 PM,SAC308,0
1270.,CSE543/EEE589,1,SnS1,A 08:00 AM - 11:10 AM,SAC307,0
1271.,CSE583,1,SfR1,F 03:00 PM - 06:10 PM,LIB607,3
1272.,CSE598,1,NbM,A 03:00 PM - 06:00 PM,TBA_v2,16
1273.,DEV501,1,KJZ,F 07:00 PM - 10:10 PM,NAC406,27
1274.,DEV502,1,NyS,F 07:00 PM - 10:10 PM,NAC401,21
1275.,DEV563,1,MIH,A 03:00 PM - 06:10 PM,NAC510,21
1276.,DEV567,1,NzM1,R 07:00 PM - 10:10 PM,NAC402,5
1277.,DEV573,1,NrA,A 07:00 PM - 10:10 PM,NAC402,26
1278.,DEV577,1,ASRN,F 03:00 PM - 06:10 PM,NAC408,20
1279.,DEV595,1,AtR,TBA,TBA,40
1280.,DEV595,2,MIH,TBA,TBA,39
1281.,DEV595,3,AAR,TBA,TBA,40
1282.,DEV595,4,NzM1,TBA,TBA,40
1283.,DEV595,5,NrA,TBA,TBA,38
1284.,DEV595,6,NyS,TBA,TBA,40
1285.,DEV595,7,SBn,TBA,TBA,40
1286.,DEV595,8,AKP,TBA,TBA,40
1287.,DEV595,9,SME,TBA,TBA,40
1288.,DEV595,10,MUK,TBA,TBA,39
1289.,DEV595,11,TPA,TBA,TBA,40
1290.,DEV595,12,JVHn,TBA,TBA,40
1291.,DEV595,13,RfAh,TBA,TBA,40
1292.,DEV595,14,SaKn,TBA,TBA,40
1293.,DEV595,15,SFY,TBA,TBA,5
1294.,DEV595,16,TBA,TBA,TBA,5
1295.,DEV596,1,AtR,TBA,TBA,40
1296.,DEV596,2,MIH,TBA,TBA,40
1297.,DEV596,3,AAR,TBA,TBA,40
1298.,DEV596,4,NzM1,TBA,TBA,40
1299.,DEV596,5,NrA,TBA,TBA,40
1300.,DEV596,6,NyS,TBA,TBA,40
1301.,DEV596,7,SBn,TBA,TBA,36
1302.,DEV596,8,AKP,TBA,TBA,40
1303.,DEV596,9,SME,TBA,TBA,40
1304.,DEV596,10,MUK,TBA,TBA,40
1305.,DEV596,11,TPA,TBA,TBA,40
1306.,DEV596,12,JVHn,TBA,TBA,40
1307.,DEV596,13,RfAh,TBA,TBA,40
1308.,DEV596,14,SaKn,TBA,TBA,40
1309.,DEV596,15,SFY,TBA,TBA,5
1310.,DEV596,16,TBA,TBA,TBA,5
1311.,ECO101,1,AqRm,RA 09:40 AM - 11:10 AM,NAC413,0
1312.,ECO101,2,FSJ,MW 08:00 AM - 09:30 AM,NAC413,5
1313.,ECO101,3,RsA,RA 02:40 PM - 04:10 PM,NAC620,0
1314.,ECO101,4,MUK,ST 09:40 AM - 11:10 AM,NAC412,0
1315.,ECO101,5,AqRm,RA 04:20 PM - 05:50 PM,NAC413,0
1316.,ECO101,6,MIH,MW 09:40 AM - 11:10 AM,NAC1079,1
1317.,ECO101,7,SME,MW 02:40 PM - 04:10 PM,NAC604,0
1318.,ECO101,8,MUK,ST 11:20 AM - 12:50 PM,NAC412,0
1319.,ECO101,9,MUK,MW 04:20 PM - 05:50 PM,NAC413,0
1320.,ECO101,10,SFY,RA 09:40 AM - 11:10 AM,NAC403,0
1321.,ECO101,11,SFY,ST 02:40 PM - 04:10 PM,NAC604,0
1322.,ECO101,12,SaKn,RA 08:00 AM - 09:30 AM,NAC412,1
1323.,ECO101,13,SaKn,RA 09:40 AM - 11:10 AM,NAC412,0
1324.,ECO101,14,Mzq,RA 11:20 AM - 12:50 PM,NAC604,0
1325.,ECO101,15,AAR,RA 11:20 AM - 12:50 PM,NAC402,0
1326.,ECO101,16,MLMB,ST 04:20 PM - 05:50 PM,NAC403,0
1327.,ECO101,17,RfAh,RA 04:20 PM - 05:50 PM,NAC402,0
1328.,ECO101,18,Stq,ST 08:00 AM - 09:30 AM,NAC403,0
1329.,ECO101,19,SaKn,RA 01:00 PM - 02:30 PM,NAC412,0
1330.,ECO101,20,SaKn,RA 02:40 PM - 04:10 PM,NAC412,1
1331.,ECO101,21,MIH,MW 01:00 PM - 02:30 PM,NAC412,0
1332.,ECO101,22,MLMB,MW 01:00 PM - 02:30 PM,NAC604,0
1333.,ECO101,23,Stq,ST 09:40 AM - 11:10 AM,NAC403,0
1334.,ECO101,24,NTS,RA 08:00 AM - 09:30 AM,NAC402,0
1335.,ECO101,25,AYO,MW 01:00 PM - 02:30 PM,NAC413,0
1336.,ECO101,26,ACD,MW 11:20 AM - 12:50 PM,NAC403,0
1337.,ECO101,27,CNq,ST 08:00 AM - 09:30 AM,NAC402,0
1338.,ECO101,28,CNq,MW 08:00 AM - 09:30 AM,NAC403,0
1339.,ECO101,29,Abt,ST 08:00 AM - 09:30 AM,NAC401,0
1340.,ECO101,30,Abt,RA 04:20 PM - 05:50 PM,NAC403,0
1341.,ECO101,31,PSk,ST 02:40 PM - 04:10 PM,NAC412,0
1342.,ECO101,32,PSk,ST 04:20 PM - 05:50 PM,NAC412,0
1343.,ECO101,33,Nnm,MW 08:00 AM - 09:30 AM,NAC604,0
1344.,ECO101,34,Nnm,MW 09:40 AM - 11:10 AM,NAC604,0
1345.,ECO101,35,ACd,ST 01:00 PM - 02:30 PM,NAC401,0
1346.,ECO101,36,ACD,ST 04:20 PM - 05:50 PM,NAC401,1
1347.,ECO101,37,MLMB,MW 04:20 PM - 05:50 PM,NAC305,1
1348.,ECO101,38,Mzq,RA 02:40 PM - 04:10 PM,NAC402,0
1349.,ECO101,39,Mzq,ST 09:40 AM - 11:10 AM,NAC413,0
1350.,ECO101,40,ABA,ST 08:00 AM - 09:30 AM,NAC412,0
1351.,ECO101,41,ABA,ST 11:20 AM - 12:50 PM,NAC401,0
1352.,ECO101,42,AHn,ST 02:40 PM - 04:10 PM,NAC413,0
1353.,ECO101,43,AHn,ST 04:20 PM - 05:50 PM,NAC413,0
1354.,ECO101,44,BTP,RA 08:00 AM - 09:30 AM,NAC403,2
1355.,ECO101,45,SFY,RA 11:20 AM - 12:50 PM,NAC401,0
1356.,ECO101,46,NTS,RA 11:20 AM - 12:50 PM,NAC403,0
1357.,ECO101,47,AqRm,RA 08:00 AM - 09:30 AM,NAC413,0
1358.,ECO101,48,AYO,MW 04:20 PM - 05:50 PM,NAC401,0
1359.,ECO101,49,NzM1,MW 04:20 PM - 05:50 PM,NAC1077,0
1360.,ECO101,50,RsA,RA 04:20 PM - 05:50 PM,NAC401,0
1361.,ECO103,1,MSSK,MW 08:00 AM - 09:30 AM,SAC305,0
1362.,ECO103,2,MSSK,MW 09:40 AM - 11:10 AM,OAT601,0
1363.,ECO104,1,Stq,MW 08:00 AM - 09:30 AM,NAC412,0
1364.,ECO104,2,Stq,MW 09:40 AM - 11:10 AM,NAC412,0
1365.,ECO104,3,Nnm,RA 08:00 AM - 09:30 AM,NAC401,0
1366.,ECO104,4,Nnm,RA 09:40 AM - 11:10 AM,NAC401,0
1367.,ECO104,5,MCw,MW 09:40 AM - 11:10 AM,NAC413,0
1368.,ECO104,6,MCw,ST 11:20 AM - 12:50 PM,NAC402,0
1369.,ECO104,7,TPA,ST 01:00 PM - 02:30 PM,NAC402,0
1370.,ECO104,8,Ans,MW 08:00 AM - 09:30 AM,NAC402,6
1371.,ECO104,9,PSk,MW 02:40 PM - 04:10 PM,NAC402,0
1372.,ECO104,10,PSk,MW 04:20 PM - 05:50 PM,NAC402,7
1373.,ECO104,11,ACD,MW 01:00 PM - 02:30 PM,NAC403,0
1374.,ECO104,12,ACD,MW 04:20 PM - 05:50 PM,NAC403,0
1375.,ECO104,13,RsA,ST 11:20 AM - 12:50 PM,NAC604,0
1376.,ECO104,14,AKP,MW 11:20 AM - 12:50 PM,NAC402,0
1377.,ECO104,15,AKP,MW 01:00 PM - 02:30 PM,NAC402,0
1378.,ECO104,16,MCw,MW 11:20 AM - 12:50 PM,NAC413,0
1379.,ECO104,17,GHA,ST 11:20 AM - 12:50 PM,NAC403,0
1380.,ECO104,18,MCw,ST 08:00 AM - 09:30 AM,NAC604,0
1381.,ECO104,19,AqRm,RA 11:20 AM - 12:50 PM,NAC413,0
1382.,ECO104,20,AqRm,RA 02:40 PM - 04:10 PM,NAC604,0
1383.,ECO104,21,MnA2,RA 01:00 PM - 02:30 PM,NAC401,0
1384.,ECO104,22,MnA2,RA 02:40 PM - 04:10 PM,NAC401,0
1385.,ECO104,23,Ans,MW 09:40 AM - 11:10 AM,NAC402,1
1386.,ECO104,24,GHA,ST 02:40 PM - 04:10 PM,NAC403,0
1387.,ECO104,25,MLMB,ST 01:00 PM - 02:30 PM,NAC403,0
1388.,ECO135,1,SFY,ST 01:00 PM - 02:30 PM,NAC604,0
1389.,ECO135,2,Abt,RA 02:40 PM - 04:10 PM,NAC413,0
1390.,ECO135,3,CNq,ST 09:40 AM - 11:10 AM,NAC402,0
1391.,ECO172,1,RsA,ST 09:40 AM - 11:10 AM,NAC604,2
1392.,ECO172,2,Mzq,ST 11:20 AM - 12:50 PM,NAC413,0
1393.,ECO172,3,ABA,MW 09:40 AM - 11:10 AM,NAC401,0
1394.,ECO173,1,AYO,ST 04:20 PM - 05:50 PM,NAC402,7
1395.,ECO173,2,Mzq,RA 09:40 AM - 11:10 AM,NAC604,0
1396.,ECO201,1,MUK,MW 02:40 PM - 04:10 PM,NAC413,0
1397.,ECO201,2,RfAh,RA 11:20 AM - 12:50 PM,NAC412,1
1398.,ECO204,1,AtR,MW 11:20 AM - 12:50 PM,NAC412,3
1399.,ECO204,2,JVHn,MW 04:20 PM - 05:50 PM,NAC412,6
1400.,ECO245,1,CNq,MW 09:40 AM - 11:10 AM,NAC403,6
1401.,ECO245,2,Abt,ST 09:40 AM - 11:10 AM,NAC401,14
1402.,ECO301,1,RfAh,RA 02:40 PM - 04:10 PM,NAC403,19
1403.,ECO304,1,MCw,ST 02:40 PM - 04:10 PM,NAC401,11
1404.,ECO304,2,JVHn,MW 02:40 PM - 04:10 PM,NAC412,0
1405.,ECO309,1,ABA,MW 08:00 AM - 09:30 AM,NAC401,25
1406.,ECO317,1,AAR,RA 01:00 PM - 02:30 PM,NAC402,21
1407.,ECO328,1,JVHn,ST 04:20 PM - 05:50 PM,NAC604,6
1408.,ECO348,1,MIH,RA 09:40 AM - 11:10 AM,NAC402,19
1409.,ECO354,1,AAR,MW 11:20 AM - 12:50 PM,NAC401,20
1410.,ECO372,1,SBn,MW 02:40 PM - 04:10 PM,NAC401,2
1411.,ECO372,2,AYO,ST 01:00 PM - 02:30 PM,NAC412,22
1412.,ECO406,1,AAR,MW 01:00 PM - 02:30 PM,NAC401,0
1413.,ECO430,1,JVHn,ST 01:00 PM - 02:30 PM,NAC413,9
1414.,ECO441,1,TPA,ST 02:40 PM - 04:10 PM,NAC402,18
1415.,ECO486,1,SBn,MW 11:20 AM - 12:50 PM,NAC604,11
1416.,ECO490,1,AtR,MW 02:40 PM - 04:10 PM,NAC403,4
1417.,ECO502,1,SME,M 07:00 PM - 10:10 PM,NAC402,9
1418.,ECO503,1,RfAh,A 07:00 PM - 10:10 PM,NAC403,7
1419.,ECO512,1,AKP,A 03:00 PM - 06:10 PM,NAC509,12
1420.,ECO514,1,AtR,T 07:00 PM - 10:10 PM,NAC401,21
1421.,ECO614,2,GGS,S 07:00 PM - 10:10 PM,NAC409,19
1422.,ECO631,2,GHA,F 03:00 PM - 06:30 PM,NAC410,15
1423.,ECO689,1,NzM1,R 07:00 PM - 10:10 PM,NAC401,24
1424.,ECO690,1,TPA,W 07:00 PM - 10:10 PM,NAC402,27
1425.,ECO695,1,MIH,TBA,TBA,39
1426.,ECO695,2,AtR,TBA,TBA,40
1427.,ECO695,3,AAR,TBA,TBA,40
1428.,ECO695,4,GGS,TBA,TBA,39
1429.,ECO695,5,NzM1,TBA,TBA,39
1430.,ECO695,6,SBn,TBA,TBA,40
1431.,ECO695,7,AKP,TBA,TBA,39
1432.,ECO695,8,MCw,TBA,TBA,40
1433.,ECO695,9,SME,TBA,TBA,39
1434.,ECO695,10,MUK,TBA,TBA,39
1435.,ECO695,11,TPA,TBA,TBA,40
1436.,ECO695,12,JVHn,TBA,TBA,40
1437.,ECO695,13,RfAh,TBA,TBA,40
1438.,ECO695,14,SaKn,TBA,TBA,40
1439.,ECO695,15,AYO,TBA,TBA,40
1440.,ECO695,16,SFY,TBA,TBA,40
1441.,ECO695,17,TBA,TBA,TBA,39
1442.,ECO699,1,MIH,TBA,TBA,40
1443.,ECO699,2,AtR,TBA,TBA,40
1444.,ECO699,3,AAR,TBA,TBA,40
1445.,ECO699,4,GGS,TBA,TBA,40
1446.,ECO699,5,NzM1,TBA,TBA,40
1447.,ECO699,6,SBn,TBA,TBA,40
1448.,ECO699,7,AKP,TBA,TBA,40
1449.,ECO699,8,MCw,TBA,TBA,40
1450.,ECO699,9,SME,TBA,TBA,40
1451.,ECO699,10,MUK,TBA,TBA,40
1452.,ECO699,11,TPA,TBA,TBA,40
1453.,ECO699,12,JVHn,TBA,TBA,40
1454.,ECO699,13,RfAh,TBA,TBA,40
1455.,ECO699,14,SaKn,TBA,TBA,40
1456.,ECO699,15,AYO,TBA,TBA,40
1457.,ECO699,16,SFY,TBA,TBA,40
1458.,ECO699,17,TBA,TBA,TBA,40
1459.,EEE111/ETE111,1,Rtk,ST 09:40 AM - 11:10 AM,SAC205,0
1460.,EEE111/ETE111,2,MOJ,MW 01:00 PM - 02:30 PM,SAC310,0
1461.,EEE111/ETE111,3,SVS,ST 08:00 AM - 09:30 AM,SAC315,0
1462.,EEE111/ETE111,4,SvS,MW 01:00 PM - 02:30 PM,SAC210,0
1463.,EEE111/ETE111,5,Aqu,MW 08:00 AM - 09:30 AM,SAC204,0
1464.,EEE111/ETE111,6,Aqu,MW 09:40 AM - 11:10 AM,SAC204,0
1465.,EEE111/ETE111,7,Mkl,ST 02:40 PM - 04:10 PM,SAC310,0
1466.,EEE111/ETE111,8,MFY,MW 04:20 PM - 05:50 PM,SAC307,0
1467.,EEE111/ETE111,9,SMU1,RA 08:00 AM - 09:30 AM,SAC306,0
1468.,EEE111/ETE111,10,MJRD,RA 04:20 PM - 05:50 PM,SAC308,0
1469.,EEE111/ETE111,11,AKAZ,RA 09:40 AM - 11:10 AM,NAC620,0
1470.,EEE111/ETE111,13,MHo1,RA 08:00 AM - 09:30 AM,NAC203,0
1471.,EEE111/ETE111,15,TnF,ST 01:00 PM - 02:30 PM,SAC307,0
1472.,EEE111/ETE111,17,SfA,ST 04:20 PM - 05:50 PM,SAC210,0
1473.,EEE111L/ETE111L,1,Rtk,S 02:40 PM - 05:50 PM,SAC504,0
1474.,EEE111L/ETE111L,2,MOJ,W 02:40 PM - 05:50 PM,SAC504,0
1475.,EEE111L/ETE111L,3,SvS,T 11:20 AM - 02:30 PM,SAC508,0
